model,val_exact,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,mse_argmax,mae_argmax,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_expected,mae_expected,target_exact_met,user_grade_present_n,user_grade_present_exact,user_grade_missing_n,user_grade_missing_exact
oof_candidate_reranker,0.6093080220453154,0.5929131286740692,0.5929131286740692,0.8806335728282169,0.9629327237099935,0.3575556023826374,0.5914155621410512,1.064990202482038,0.577726975832789,0.1797223940081083,0.15463151104660539,0.21926900584795322,0.8666990844327818,0.5900270132517694,False,1812,0.9150110375275938,4312,0.45640074211502785
cascade_reranker_plus_exact_bias,0.6231884057971014,0.5920966688438929,0.5920966688438929,0.8758981058131939,0.9570542129327237,0.3487129830704226,0.5844043136050512,1.1394513389941214,0.5930764206401045,0.17354049854049855,0.14558458313175293,0.22333333333333333,0.8693256271885721,0.5834987237721394,False,1812,0.9150110375275938,4312,0.45640074211502785
sgd_alpha0.001,0.6011430904266177,0.5904637491835402,0.5904637491835402,0.8693664271717831,0.9542782495101241,0.3511603751014244,0.5814748365739254,1.2166884389288046,0.6085891574134552,0.17773663302536893,0.1618803418803419,0.21831455986649978,0.8152532898679706,0.5810618902284376,False,1812,0.9150110375275938,4312,0.45640074211502785
hgb_lr0.04_leaf31,0.6060420493978363,0.5876877857609406,0.5876877857609406,0.8778576094056172,0.9601567602873938,0.3808893864774149,0.5862147311356319,1.092749836708034,0.5888308295231874,0.23278006336596208,0.20123528463151102,0.28505347593582886,0.9237628139316995,0.5998384757555034,False,1812,0.9150110375275938,4312,0.45640074211502785
hgb_lr0.03_leaf63,0.6025719534598898,0.5868713259307642,0.5868713259307642,0.8785107772697583,0.9598301763553233,0.3643308635939788,0.5860039887831505,1.09944480731548,0.5903004572175049,0.19649541234446893,0.1659958071278826,0.248248894933696,0.9392103922797813,0.6027076913907536,False,1812,0.9150110375275938,4312,0.45640074211502785
sgd_alpha0.0003,0.5890998162890386,0.5842586544741999,0.5842586544741999,0.8647942521227956,0.952971913781842,0.3472646848442167,0.5769848683120689,1.2289353363814501,0.6195297191378184,0.17448814192343604,0.14813255926463473,0.21678964877065013,0.8230695161424196,0.5707132311927718,False,1812,0.9150110375275938,4312,0.45640074211502785
hgb_lr0.025_leaf127,0.6005307205552154,0.5839320705421294,0.5839320705421294,0.8772044415414761,0.9564010450685826,0.35195002376936657,0.5806215405696417,1.1392880470280862,0.6000979751796212,0.1754012040770799,0.1472052894694404,0.22398098928416119,0.9443616932951641,0.5989676403123736,False,1812,0.9150110375275938,4312,0.45640074211502785
sgd_alpha0.0001,0.5797101449275363,0.5754408883082952,0.5754408883082952,0.8610385369039844,0.9469301110385369,0.3466275127198019,0.5670712555244486,1.3145003265839321,0.6420640104506858,0.18423986273020249,0.14314949201741653,0.2773856209150326,0.9025853153525337,0.5832850303167123,False,1812,0.9150110375275938,4312,0.45640074211502785
sgd_alpha3e-05,0.5601143090426618,0.5579686479425212,0.5579686479425212,0.8442194644023514,0.9389288047028086,0.33511337856464135,0.5525667996676561,1.4784454604833441,0.6907250163291966,0.17445780715058165,0.14477019835510402,0.22143060817141227,1.09097429032838,0.6348660238880581,False,1812,0.9150110375275938,4312,0.45640074211502785
graph_knn25,0.5433761992243314,0.5504572175048987,0.5504572175048987,0.8131939908556499,0.9062704114957544,0.2889420239156358,0.5213071301309471,1.9201502286087524,0.784944480731548,0.11286943951639397,0.07025479761328818,0.2880095068330363,1.243580483385601,0.7021661951759578,False,1812,0.9150110375275938,4312,0.45640074211502785
graph_knn11,0.5362318840579711,0.5437622468974527,0.5437622468974527,0.8151534944480732,0.9147615937295885,0.3107692093205691,0.5234613447085698,1.8220117570215546,0.7740039190071848,0.15718028745709575,0.10670375745847445,0.32400609380950984,1.2253701164343933,0.6977204537398719,False,1812,0.9150110375275938,4312,0.45640074211502785
graph_knn51,0.5437844458052664,0.540986283474853,0.540986283474853,0.8014369693011104,0.8974526453298498,0.279655330506989,0.5056669726907408,2.047517962116264,0.8195623775310255,0.10999656002751976,0.0674246089340429,0.3004407964736282,1.268093285496416,0.7104826652281264,False,1812,0.9150110375275938,4312,0.45640074211502785
graph_knn5,0.5376607470912431,0.5315153494448073,0.5315153494448073,0.8056825604180274,0.9139451338994121,0.3042603771320641,0.5188106514135737,1.8347485303723057,0.7939255388634879,0.14748569352849533,0.11696016771488468,0.20383365302642797,1.2721277917761797,0.7120131862579141,False,1812,0.9150110375275938,4312,0.45640074211502785
graph_knn3,0.5282710757297407,0.5262900065316787,0.5262900065316787,0.8002939255388635,0.9061071195297191,0.303390709024188,0.519748426316431,1.9776290006531678,0.8218484650555192,0.14465096609794043,0.1418513143041445,0.15016057558303292,1.3634114995285946,0.7314208034890722,False,1812,0.9150110375275938,4312,0.45640074211502785
