model,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,mse_argmax,mae_argmax,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_expected,mae_expected,members,weights,val_exact,target_exact_met
random_exact_ensemble,0.606629653821032,0.606629653821032,0.8896146309601568,0.9666884389288047,0.3486801605224108,0.5957432579543583,1.0062050947093404,0.5512736773350752,0.16076368076368078,0.12373810675697468,0.22976097348978705,0.7940130063069584,0.5664579267591849,sgd_log_alpha0.0003;val_logistic_stack,0.0627;0.9373,0.6389058991630945,False
val_logistic_stack,0.6036903984323971,0.6036903984323971,0.8905943827563684,0.9670150228608753,0.3455522170653448,0.5927093671159832,1.0045721750489875,0.5529065969954279,0.15816627816627818,0.12090791807772941,0.22888675404286465,0.7969543874183241,0.5674688893630703,,,,False
hgb_lr0.04_leaf31,0.5863814500326584,0.5863814500326584,0.8786740692357936,0.9564010450685826,0.3502105034443196,0.5829332963867009,1.1281841933376877,0.5955258001306336,0.17406656743726182,0.1500354781486857,0.21201783723522855,0.9177789944492986,0.5934643284966551,,,,False
hgb_lr0.03_leaf63,0.5836054866100587,0.5836054866100587,0.8780209013716526,0.9601567602873938,0.36289460289231895,0.5828907739443542,1.1020574787720445,0.5932397126061397,0.19834952952846296,0.16950330591840027,0.24167528823541007,0.9352007074040212,0.6030672593601824,,,,False
sgd_log_alpha0.0003,0.5767472240365774,0.5767472240365774,0.8643043762246897,0.9541149575440888,0.3537484791003477,0.5696249253153179,1.2426518615284128,0.6270411495754409,0.1920330412309022,0.1550459603289792,0.2630616403464086,0.8538317538016105,0.5809807861118154,,,,False
sgd_log_alpha0.0001,0.5687459177008491,0.5687459177008491,0.8528739386022207,0.9490529065969955,0.3424568325159415,0.5642557729467874,1.3314826910516002,0.6534944480731548,0.17793824135236877,0.15110788582486695,0.23114012113275498,0.9222936187650088,0.5971964666268078,,,,False
sgd_log_alpha3e-05,0.55421293272371,0.55421293272371,0.83736120182887,0.9395819725669498,0.3308913690815023,0.5503827922879447,1.4839973873285435,0.6988896146309601,0.1686740918522963,0.14614094500886954,0.20149769585253458,1.0820544796650806,0.6396845771515663,,,,False
graph_knn25_hardug,0.5486610058785107,0.5486610058785107,0.8145003265839321,0.9088830829523188,0.2880949159922058,0.5192998145619332,1.8930437622468974,0.781352057478772,0.110924543946932,0.06931140138687308,0.2781746031746032,1.239729742042912,0.7007986535774429,,,,False
sgd_log_alpha1e-05,0.5458850424559112,0.5458850424559112,0.8334421946440235,0.9368060091443501,0.32442487037442225,0.542678952581217,1.507838014369693,0.713259307642064,0.16087629969712008,0.1368118045476536,0.19573351379802995,1.2524444689222878,0.679742838577735,,,,False
graph_knn11_hardug,0.5426192031352057,0.5426192031352057,0.8176028739386022,0.9157413455258001,0.2922232220827413,0.521675608870269,1.8074787720444154,0.7705747877204442,0.1214088755987192,0.08319625866795678,0.23265306122448978,1.2265644705223775,0.6974135844084385,,,,False
graph_knn51_hardug,0.5411495754408883,0.5411495754408883,0.8032331809274984,0.8969627694317439,0.2759133920707785,0.5054090680395108,2.0453951665578054,0.8177661659046375,0.1033373205741627,0.06281244960490243,0.2914438502673796,1.2754304382176547,0.7112431699832248,,,,False
graph_knn5_hardug,0.5310254735467015,0.5310254735467015,0.8055192684519922,0.9134552580013063,0.3033081528744339,0.518213060517287,1.8435662965382102,0.7955584585238407,0.14495677233429394,0.11790356394129979,0.18944444444444444,1.2793164000672894,0.7141845592940598,,,,False
complement_nb_sparse,0.5310254735467015,0.5310254735467015,0.7971913781841934,0.9085564990202482,0.28193112515870966,0.5147139997640545,1.8579359895493142,0.8047028086218158,0.10205779301510756,0.06186905337848734,0.29187675070028013,2.715011631662137,1.091606451440994,,,,False
graph_knn3_hardug,0.5230241672109732,0.5230241672109732,0.798824297844546,0.9070868713259308,0.29919921781784364,0.516346827131925,1.9724036577400392,0.8244611365120836,0.1397899986874918,0.13440896629575874,0.1468279569892473,1.3585156706665098,0.7313003399957441,,,,False
graph_knn1_hardug,0.5109405617243632,0.5109405617243632,0.787393860222077,0.8989222730241672,0.29853730346980145,0.5094668752462654,2.08736120182887,0.8597322011757021,0.14328181108508978,0.14929366231253022,0.13917958656330748,2.08736120182887,0.8597322011757021,,,,False
